Commodity,Forecast_Average_Price,Forecast_Min_Price,Forecast_Max_Price,Forecast_First_Price,Forecast_Last_Price,Forecast_Change_pct,Forecast_Range_pct,Forecast_Days,Average_Crisis_Score,High_Critical_Events,Forecast_Volatility_Score,Farmer_Intelligence_Score,Final_Risk_Level,District,Cluster,District_Risk_Score,District_Risk_Level,Recommendation,Recommended_Action
Rice,4251.58,3357.02,4944.64,3740.57,4693.29,25.47,47.29,30,13.03,63,99.99,59.44,High,Jalgaon,1,5.54,Low,High commodity risk - avoid selling the entire stock at once and monitor price and supply conditions.,MONITOR MARKET
Rice,4255.97,3356.44,4833.57,3733.03,4686.31,25.54,44.01,30,13.03,63,92.53,57.2,High,Kolhapur,0,5.14,Low,High commodity risk - avoid selling the entire stock at once and monitor price and supply conditions.,MONITOR MARKET
Rice,4264.88,3347.84,4840.6,3737.44,4677.09,25.14,44.59,30,13.03,63,92.91,57.32,High,Nagpur,1,7.46,Low,High commodity risk - avoid selling the entire stock at once and monitor price and supply conditions.,MONITOR MARKET
Rice,4243.97,3363.75,4889.94,3736.79,4696.38,25.68,45.37,30,13.03,63,99.81,59.38,High,Nashik,0,8.41,Low,High commodity risk - avoid selling the entire stock at once and monitor price and supply conditions.,MONITOR MARKET
Rice,4250.77,3356.86,4895.27,3738.07,4684.46,25.32,45.83,30,13.03,63,100.0,59.44,High,Pune,0,9.04,Low,High commodity risk - avoid selling the entire stock at once and monitor price and supply conditions.,MONITOR MARKET
Rice,4257.97,3347.05,4844.26,3735.68,4675.96,25.17,44.73,30,13.03,63,97.51,58.69,High,Sangli,0,5.31,Low,High commodity risk - avoid selling the entire stock at once and monitor price and supply conditions.,MONITOR MARKET
Rice,4251.79,3335.45,4826.28,3739.88,4685.57,25.29,44.7,30,13.03,63,93.16,57.39,High,Satara,0,4.74,Low,High commodity risk - avoid selling the entire stock at once and monitor price and supply conditions.,MONITOR MARKET
Rice,4256.43,3358.97,4900.28,3748.61,4702.15,25.44,45.89,30,13.03,63,98.97,59.13,High,Solapur,1,8.59,Low,High commodity risk - avoid selling the entire stock at once and monitor price and supply conditions.,MONITOR MARKET
Tomato,3495.81,3195.1,3634.88,3343.23,3560.37,6.49,13.76,30,10.38,43,23.77,27.82,Moderate,Ahmednagar,0,13.99,Low,"Stable forecast conditions - monitor market prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Tomato,3489.65,3192.3,3632.51,3340.43,3569.95,6.87,13.79,30,10.38,43,23.66,27.79,Moderate,Chhatrapati Sambhajinagar,0,4.72,Low,"Stable forecast conditions - monitor market prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Tomato,3495.37,3195.22,3635.01,3343.36,3560.5,6.49,13.76,30,10.38,43,23.67,27.79,Moderate,Jalgaon,1,5.54,Low,"Stable forecast conditions - monitor market prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Tomato,3497.71,3191.08,3637.38,3340.87,3561.31,6.6,13.99,30,10.38,43,24.08,27.91,Moderate,Kolhapur,0,5.14,Low,"Stable forecast conditions - monitor market prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Tomato,3526.4,3232.41,3648.35,3364.71,3552.83,5.59,12.87,30,10.38,43,21.54,27.15,Moderate,Nagpur,1,7.46,Low,"Stable forecast conditions - monitor market prices, supply conditions, and weather before making a decision.",MONITOR MARKET
Tomato,3495.81,3195.1,3634.88,3343.23,3560.37,6.49,13.76,30,10.38,43,23.77,27.82,Moderate,Nashik,0,8.41,Low,"Stable forecast conditions - monitor market prices, supply conditions, and weather before making a decision.",MONITOR MARKET
