District,Rows,MAE,RMSE,R2
0,1060,245.18411124520932,445.751179597913,0.9017057527142753
1,1060,244.78780779683814,445.38733674274,0.901866151902137
2,1060,244.44157676610408,445.4079634454743,0.9018570621754314
3,1060,244.16645497217718,444.6696446769788,0.9021821606136634
4,1060,245.10489689665022,446.21175847013757,0.9015025198581863
5,1060,244.9609547165205,445.29853009650554,0.9019052821978081
6,1060,244.7423521014519,445.2506030398499,0.901926396743565
7,1060,244.03254518213808,444.3421432443088,0.9023261942160284
8,1060,245.54337729169737,446.04829221828805,0.9015746742304027
9,1060,243.16361780936762,443.1854795466714,0.9028340402707792
