Model,MAE,RMSE,R2
Corrected Random Forest,291.3689173244504,585.7568170486384,0.8302624996225285
Improved XGBoost,244.85501929355837,449.0249373491267,0.9002566338090858
Tuned XGBoost,244.61276947781545,445.1561010462283,0.9019680234922277
