Commodity,Rows,MAE,RMSE,R2
0,2120,99.69357794650097,151.65931004421589,0.46717031908065265
1,2120,102.0220387031987,260.9386969723515,0.10791678972512819
2,2120,557.3494827581441,844.4505477281415,0.02617325151339467
3,2120,255.50900857601528,332.036413106454,0.8578627530576146
4,2120,208.48973940521813,276.3789326372848,0.42218215291474137
